question_id,document_id,question_text,gold_answer,gold_support_chunk_ids,page_hint
q0001,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược phân trang, PTBR (Page-table base register) có chức năng gì?",PTBR (Page-table base register) là một thanh ghi trỏ tới bảng quản lý trang (PCB)[cite: 1].,1e8e6c622bfb571b0b783d8347182318:104|1e8e6c622bfb571b0b783d8347182318:90|1e8e6c622bfb571b0b783d8347182318:114,90|104|114
q0002,1e8e6c622bfb571b0b783d8347182318,Điều gì xảy ra khi giá trị của bit Mp (Memory present) bằng 0 trong quá trình truy nhập bộ nhớ?,"Khi Mp = 0, điều đó cho biết trang không có trong bộ nhớ, dẫn đến lỗi trang (page fault) và sinh ra một ngắt để hệ điều hành tiến hành nạp trang[cite: 2].",1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:47|1e8e6c622bfb571b0b783d8347182318:104,19|47|104
q0003,1e8e6c622bfb571b0b783d8347182318,Bộ nhớ được phân cấp dựa trên tiêu chí nào?,"Bộ nhớ được phân cấp dựa trên tốc độ truy nhập[cite: 3], từ nhanh nhất là các thanh ghi (registers) đến chậm nhất là băng từ hoặc đĩa quang[cite: 3].",1e8e6c622bfb571b0b783d8347182318:57|1e8e6c622bfb571b0b783d8347182318:58|1e8e6c622bfb571b0b783d8347182318:53,53|57|58
q0004,1e8e6c622bfb571b0b783d8347182318,Cấu trúc nạp động (dynamic loading) hoạt động như thế nào?,"Trong cấu trúc nạp động, mỗi modul được biên tập riêng[cite: 15]. Khi thực thi, hệ thống sẽ định vị modul gốc, và chỉ khi cần đến modul nào thì hệ thống mới xin cấp phát bộ nhớ và nạp modul đó vào[cite: 15].",1e8e6c622bfb571b0b783d8347182318:32|1e8e6c622bfb571b0b783d8347182318:121|1e8e6c622bfb571b0b783d8347182318:22,22|32|121
q0005,1e8e6c622bfb571b0b783d8347182318,Bộ nhớ ảo là gì và nó hoạt động như thế nào?,"Bộ nhớ ảo là một kỹ thuật cho phép nạp từng phần của chương trình vào bộ nhớ, trong đó một số trang của tiến trình có thể nằm trên đĩa[cite: 5]. Khi một trang được yêu cầu, nó sẽ được đưa từ bộ nhớ thứ cấp vào bộ nhớ vật lý[cite: 5].",1e8e6c622bfb571b0b783d8347182318:122|1e8e6c622bfb571b0b783d8347182318:121|1e8e6c622bfb571b0b783d8347182318:123,121|122|123
q0006,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược cấp phát bộ nhớ Buddy Allocation, nguyên tắc thu hồi vùng nhớ là gì?","Khi một vùng nhớ được giải phóng, hệ thống có thể kết hợp hai vùng kề nhau có cùng kích thước và tiếp tục kết hợp liên tiếp cho tới khi tạo ra vùng trống lớn nhất có thể[cite: 6].",1e8e6c622bfb571b0b783d8347182318:53|1e8e6c622bfb571b0b783d8347182318:54|1e8e6c622bfb571b0b783d8347182318:55,53|54|55
q0007,1e8e6c622bfb571b0b783d8347182318,Kể tên các chiến lược quản lý bộ nhớ được đề cập.,"Các chiến lược quản lý bộ nhớ bao gồm: chiến lược phân chương cố định, chiến lược phân chương động, chiến lược phân đoạn, chiến lược phân trang, và chiến lược kết hợp phân đoạn-phân trang[cite: 7].",1e8e6c622bfb571b0b783d8347182318:136|1e8e6c622bfb571b0b783d8347182318:131|1e8e6c622bfb571b0b783d8347182318:117,117|131|136
q0008,1e8e6c622bfb571b0b783d8347182318,"Trong chiến lược phân đoạn, làm thế nào để tính địa chỉ vật lý từ địa chỉ logic có dạng <đoạn, offset>?","Để tính địa chỉ vật lý, hệ thống sẽ lấy địa chỉ bắt đầu của đoạn trong bộ nhớ và cộng với giá trị offset. Ví dụ, địa chỉ <3, 345> được tính bằng cách lấy địa chỉ bắt đầu của Đoạn 3 là 3200 cộng với offset 345 để ra địa chỉ 3545[cite: 10].",1e8e6c622bfb571b0b783d8347182318:90|1e8e6c622bfb571b0b783d8347182318:20|1e8e6c622bfb571b0b783d8347182318:81,20|81|90
q0009,1e8e6c622bfb571b0b783d8347182318,Nhược điểm của cấu trúc nạp động là gì?,"Nhược điểm của cấu trúc nạp động bao gồm tốc độ thực hiện chậm, yêu cầu người sử dụng phải nạp và xóa các modul, và giảm tính lưu động[cite: 13].",1e8e6c622bfb571b0b783d8347182318:121|1e8e6c622bfb571b0b783d8347182318:31|1e8e6c622bfb571b0b783d8347182318:22,22|31|121
q0010,1e8e6c622bfb571b0b783d8347182318,Việc xác định địa chỉ trong chương trình có thể được thực hiện ở những giai đoạn nào?,"Việc xác định địa chỉ có thể được thực hiện tại ba giai đoạn: giai đoạn dịch[cite: 16], thời điểm nạp[cite: 16], hoặc trong khi thực hiện[cite: 17].",1e8e6c622bfb571b0b783d8347182318:17|1e8e6c622bfb571b0b783d8347182318:19|1e8e6c622bfb571b0b783d8347182318:32,17|19|32
